ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
835,"Phillip Maxwell ""Phil"" Adams",M,46.0,163.0,93.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,50.0,163.0,93.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,50.0,163.0,93.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",
868,"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,
1174,Robert David Garrick Agnew,M,17.0,,,Australia,AUS,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
1174,Robert David Garrick Agnew,M,17.0,,,Australia,AUS,1948 Summer,1948,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
1174,Robert David Garrick Agnew,M,21.0,,,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 400 metres Freestyle,
1174,Robert David Garrick Agnew,M,21.0,,,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Swimming,"Swimming Men's 1,500 metres Freestyle",
1174,Robert David Garrick Agnew,M,21.0,,,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1186,Paul Agostino,M,21.0,184.0,84.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
1311,"Nicholas Mark ""Nick"" A'Hern",M,23.0,169.0,61.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,
1311,"Nicholas Mark ""Nick"" A'Hern",M,27.0,169.0,61.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,
1311,"Nicholas Mark ""Nick"" A'Hern",M,31.0,169.0,61.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,
1312,Michael H. G. Ah Matt,M,21.0,188.0,73.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
1489,Alexander Michael Hirst Aikman,M,23.0,,,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
1534,Brett Aitken,M,21.0,173.0,65.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1534,Brett Aitken,M,25.0,173.0,65.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1534,Brett Aitken,M,29.0,173.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
1534,Brett Aitken,M,29.0,173.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold
1620,Bruce Robert Akers,M,19.0,165.0,74.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",
1620,Bruce Robert Akers,M,23.0,165.0,74.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",
2221,Dianne Marie Alagich,F,21.0,169.0,64.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
2221,Dianne Marie Alagich,F,25.0,169.0,64.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,
2321,Fiona Albert,F,25.0,174.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,
2439,Brett Alderman,M,25.0,190.0,91.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,
2442,Olympia Aldersey,F,24.0,183.0,75.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,
2548,Fiona Michelle Alessandri (-Wildy),F,20.0,175.0,61.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,
2548,Fiona Michelle Alessandri (-Wildy),F,20.0,175.0,61.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
2562,"Fleming ""Alex"" Alexander",M,19.0,,,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 400 metres Individual Medley,
2581,"Timothy ""Tim"" Alexander",M,23.0,185.0,80.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
2581,"Timothy ""Tim"" Alexander",M,27.0,185.0,80.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
2696,Peter Ali,M,24.0,194.0,91.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,
2802,Donald John Allan,M,22.0,180.0,73.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",
2802,Donald John Allan,M,22.0,180.0,73.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,
2805,Mitchell Allan,M,18.0,180.0,72.0,Australia,AUS,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24.0,177.0,68.0,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24.0,177.0,68.0,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24.0,177.0,68.0,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
2850,"Kate Ruth ""Katie"" Allen",F,26.0,170.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
2850,"Kate Ruth ""Katie"" Allen",F,30.0,170.0,65.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,
2857,Malcolm Allen,M,23.0,185.0,74.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Freestyle,
2857,Malcolm Allen,M,23.0,185.0,74.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
2858,"Ian Graeme Keith ""Mick"" Allen",M,18.0,190.0,84.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,
2858,"Ian Graeme Keith ""Mick"" Allen",M,22.0,190.0,84.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,
2858,"Ian Graeme Keith ""Mick"" Allen",M,26.0,190.0,84.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Horse Vault,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,
2860,Monique Marie Allen,F,16.0,157.0,46.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Balance Beam,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,
2860,Monique Marie Allen,F,20.0,157.0,46.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,21.0,170.0,59.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
2885,Laura Colleen Gloria Alleway,F,26.0,178.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
2928,"Edward James ""Ted"" Allsopp",M,30.0,179.0,80.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 20 kilometres Walk,
2928,"Edward James ""Ted"" Allsopp",M,30.0,179.0,80.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 50 kilometres Walk,
2928,"Edward James ""Ted"" Allsopp",M,38.0,179.0,80.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,
3001,Alexei Almoukov,M,19.0,173.0,73.0,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,
3001,Alexei Almoukov,M,19.0,173.0,73.0,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres,
3001,Alexei Almoukov,M,23.0,173.0,73.0,Australia,AUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,
3001,Alexei Almoukov,M,23.0,173.0,73.0,Australia,AUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,
3015,John Aloisi,M,28.0,184.0,83.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
3016,Ross Aloisi,M,23.0,178.0,73.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
3054,Uzodinma Anthony Alozie,M,25.0,171.0,79.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
3094,"Jennifer ""Jenny"" Altermatt",F,19.0,,,Australia,AUS,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
3094,"Jennifer ""Jenny"" Altermatt",F,19.0,,,Australia,AUS,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,
3347,Eloise Michelle Amberger,F,21.0,165.0,55.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,
3347,Eloise Michelle Amberger,F,25.0,165.0,55.0,Australia,AUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,
3347,Eloise Michelle Amberger,F,25.0,165.0,55.0,Australia,AUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
3414,"Ronald William ""Ron"" Amess",M,22.0,,,Australia,AUS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,
3462,"Timothy ""Tim"" Amitrano",M,25.0,171.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,163.0,55.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Bronze
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,36.0,163.0,55.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 800 metres,
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,36.0,163.0,55.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Women's 1,500 metres",
3711,David Emil Andersen,M,24.0,211.0,102.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,
3711,David Emil Andersen,M,28.0,211.0,102.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,
3711,David Emil Andersen,M,32.0,211.0,102.0,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
3711,David Emil Andersen,M,36.0,211.0,102.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
3800,"Christopher Daniel ""Chris"" Anderson",M,28.0,189.0,74.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,
3802,Colin Anderson,M,,,,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Running Target, Single And Double Shot",
3803,Craig Anthony Anderson,M,19.0,187.0,86.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,
3803,Craig Anthony Anderson,M,23.0,187.0,86.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
3805,"David Rollo ""Dave"" Anderson",M,20.0,,,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
3805,"David Rollo ""Dave"" Anderson",M,24.0,,,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,
3809,David Lennon James Anderson,M,26.0,194.0,80.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,
3825,Jenny-Lyn Anderson,F,19.0,162.0,,Australia,AUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
3831,John Edward Anderson,M,33.0,183.0,89.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
3831,John Edward Anderson,M,36.0,183.0,89.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,
3843,"Marcus ""Mark"" Anderson",M,16.0,,,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,
3859,John Scott Anderson,M,30.0,187.0,72.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,Bronze
3864,"Thomas James ""Tom"" Anderson",M,29.0,183.0,89.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,
3864,"Thomas James ""Tom"" Anderson",M,33.0,183.0,89.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
3877,Kate Suzanne Anderson-Richardson,F,22.0,168.0,51.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",
3877,Kate Suzanne Anderson-Richardson,F,26.0,168.0,51.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",
3978,Ramon Dean Andersson,M,29.0,188.0,95.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
3978,Ramon Dean Andersson,M,33.0,188.0,95.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Butterfly,Bronze
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
4147,Robert Andrew,M,30.0,188.0,74.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,
4152,Jake Andrewartha,M,22.0,196.0,122.0,Australia,AUS,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,
4163,"Michelle ""Shelley"" Andrews (-Mitchell)",F,24.0,168.0,59.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
4164,"Susan Elizabeth ""Sue"" Andrews",F,21.0,173.0,62.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,
4164,"Susan Elizabeth ""Sue"" Andrews",F,29.0,173.0,62.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,
4164,"Susan Elizabeth ""Sue"" Andrews",F,29.0,173.0,62.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,
4250,David J. Anear,M,28.0,175.0,80.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,
4290,Claude Angelo,M,29.0,,,Australia,AUS,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Featherweight, Freestyle",
4413,Ashlee Ankudinoff,F,25.0,174.0,67.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,
4414,Justin John Anlezark,M,23.0,188.0,127.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,
4414,Justin John Anlezark,M,26.0,188.0,127.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,
4414,Justin John Anlezark,M,30.0,188.0,127.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,
4418,Alyson Regina Annan,F,19.0,162.0,65.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,
4418,Alyson Regina Annan,F,23.0,162.0,65.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
4418,Alyson Regina Annan,F,27.0,162.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
4427,"Harry Maxwell ""Max"" Annett",M,29.0,188.0,88.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,
4433,"Christine Frances ""Chris"" Annison-Stanton",F,20.0,183.0,67.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's High Jump,
4433,"Christine Frances ""Chris"" Annison-Stanton",F,24.0,183.0,67.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's High Jump,
4433,"Christine Frances ""Chris"" Annison-Stanton",F,28.0,183.0,67.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,
4474,"Christopher John ""Chris"" Anstey",M,25.0,213.0,112.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,
4474,"Christopher John ""Chris"" Anstey",M,33.0,213.0,112.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,
4511,Mark Anthony,M,18.0,187.0,81.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,
4511,Mark Anthony,M,22.0,187.0,81.0,Australia,AUS,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,
4561,Peter Thomas Antonie,M,30.0,183.0,82.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,
4561,Peter Thomas Antonie,M,34.0,183.0,82.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold
4561,Peter Thomas Antonie,M,38.0,183.0,82.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,
4812,Zlatko Arambasic,M,22.0,178.0,,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
4818,Zoe Arancini,F,25.0,170.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
5096,Simon Graham Arkell,M,26.0,185.0,78.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,
5096,Simon Graham Arkell,M,30.0,185.0,78.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,29.0,168.0,64.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Middleweight,
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,33.0,168.0,64.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,37.0,168.0,64.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,
5114,Vyninka Rae Robyn Arlow,F,18.0,163.0,53.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Platform,
5114,Vyninka Rae Robyn Arlow,F,22.0,163.0,53.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Platform,
5158,Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold
5158,Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Silver
5158,Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5158,Duncan John D'Arcy Armstrong,M,24.0,187.0,74.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,30.0,171.0,59.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Two Person Dinghy,Gold
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,34.0,171.0,59.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Two Person Dinghy,
5165,"James Michael ""Jim"" Armstrong",M,31.0,,,Australia,AUS,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
